Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C301","3.3uF_50V","C_1210_3225Metric",193.150000,-101.350000,-90.000000,bottom
"C302","0.1uF_100V","C_0402_1005Metric",177.150000,-95.600000,0.000000,bottom
"C303","1uF_25V","C_0402_1005Metric",178.900000,-90.850000,-90.000000,bottom
"C304","1uF_25V","C_0402_1005Metric",169.900000,-92.100000,90.000000,bottom
"C305","47uF_10V","C_0805_2012Metric",171.650000,-92.100000,90.000000,bottom
"C401","0.1uF_100V","C_0402_1005Metric",127.150000,-115.350000,90.000000,bottom
"C501","0.1uF_100V","C_0402_1005Metric",163.650000,-96.850000,0.000000,bottom
"C504","47uF_10V","C_0805_2012Metric",138.150000,-76.350000,0.000000,bottom
"C505","47uF_10V","C_0805_2012Metric",158.150000,-76.350000,0.000000,bottom
"C506","47uF_10V","C_0805_2012Metric",178.150000,-76.350000,0.000000,bottom
"C507","47uF_10V","C_0805_2012Metric",178.150000,-126.350000,180.000000,bottom
"C508","47uF_10V","C_0805_2012Metric",158.150000,-126.350000,180.000000,bottom
"C509","47uF_10V","C_0805_2012Metric",138.150000,-126.350000,180.000000,bottom
"D401","D_SCHOTTKY_20V_1A","SOD-123FL",140.900000,-88.600000,0.000000,bottom
"R401","1.8k","R_0402_1005Metric",158.650000,-96.850000,0.000000,bottom
"R402","1.8k","R_0402_1005Metric",161.650000,-96.850000,180.000000,bottom
"U301","TPSM365R6V5RDNR","RDN0011A-MFG",175.400000,-92.100000,90.000000,bottom
"U401","MAX6816","SOT192P237X122-4N",130.150000,-115.350000,-90.000000,bottom
"U501","PCA9685BS","QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm",161.150000,-101.350000,180.000000,bottom
"C502","0.1uF_100V","C_0402_1005Metric",170.150000,-104.600000,180.000000,top
"C503","0.1uF_100V","C_0402_1005Metric",174.900000,-98.100000,0.000000,top
"FW401","FEATHERWING_nRF52_HEADERS","FEATHERWING_HEADERS",143.150000,-101.350000,0.000000,top
"J301","Conn_TERM_HDR_01x03_Pin_3.5mm_Horizontal","Connector_Header_1x03_P2.54mm_Horizontal_SMD_284052-E",193.150000,-101.350000,-90.000000,top
"J501","Conn_TERM_HDR_01x03_Pin_3.5mm_Horizontal","Connector_Header_1x03_P2.54mm_Horizontal_SMD_284052-E",138.150000,-76.350000,0.000000,top
"J502","Conn_TERM_HDR_01x03_Pin_3.5mm_Horizontal","Connector_Header_1x03_P2.54mm_Horizontal_SMD_284052-E",158.150000,-76.350000,0.000000,top
"J503","Conn_TERM_HDR_01x03_Pin_3.5mm_Horizontal","Connector_Header_1x03_P2.54mm_Horizontal_SMD_284052-E",178.150000,-76.350000,0.000000,top
"J504","Conn_TERM_HDR_01x03_Pin_3.5mm_Horizontal","Connector_Header_1x03_P2.54mm_Horizontal_SMD_284052-E",178.150000,-126.350000,180.000000,top
"J505","Conn_TERM_HDR_01x03_Pin_3.5mm_Horizontal","Connector_Header_1x03_P2.54mm_Horizontal_SMD_284052-E",158.150000,-126.350000,180.000000,top
"J506","Conn_TERM_HDR_01x03_Pin_3.5mm_Horizontal","Connector_Header_1x03_P2.54mm_Horizontal_SMD_284052-E",138.150000,-126.350000,180.000000,top
"SW401","SW_DIP_x01_EM-01KP","SW_SPST_EM-01KP",125.750000,-116.350000,0.000000,top
"U502","LevelTranslator_TXS0108EPW","IC_TXS0108ERGYR",172.360000,-101.350000,0.000000,top
